ㄱ,일반가구,1인가구,남자 1인가구,여성 1인가구,1인가구 비율,중증정신질환 등록회원 수,장기재원건수,노인여가복지시설,정신건강증진기관,고독사 발생 건수,복지 인프라 밀도,고독사 위험지수,1인 가구 1만명 당 고독사 위험지수,1인 가구 1만명 당 복지 인프라 밀도
강남구,226333,79274,34215,45059,35.02538295,287,4,19,2,23,0.000264904,0.029013296,2.901329566,2.649040038
강동구,194369,65601,30163,35438,33.75075243,149,5,4,5,52,0.000137193,0.079267084,7.926708434,1.371930306
강북구,130929,53705,24478,29227,41.01841456,231,3,3,4,61,0.000130342,0.113583465,11.35834652,1.303416814
강서구,256036,106748,48113,58635,41.69257448,182,8,14,8,81,0.000206093,0.075879642,7.587964177,2.060928542
관악구,264148,153605,81133,72472,58.15111226,216,5,6,6,76,7.81225E-05,0.049477556,4.947755607,0.78122457
광진구,158609,72933,34586,38347,45.98288874,171,2,6,6,41,0.000164535,0.056215979,5.621597905,1.645345728
구로구,171388,62632,30421,32211,36.54398208,228,12,2,8,40,0.000159663,0.063865117,6.386511687,1.596627922
금천구,112676,53858,28311,25547,47.7989989,180,6,14,3,51,0.000315645,0.094693453,9.469345315,3.156448438
노원구,205666,67182,28424,38758,32.66558401,246,6,7,6,64,0.000193504,0.095263612,9.526361228,1.935042124
도봉구,129841,43347,19193,24154,33.38467818,244,4,7,10,28,0.000392184,0.064595012,6.459501234,3.921840035
동대문구,160767,72355,35399,36956,45.00612688,198,2,6,5,88,0.000152028,0.121622555,12.16225555,1.520281943
동작구,173615,75148,35880,39268,43.28427843,177,6,6,2,26,0.000106457,0.034598393,3.459839251,1.064565923
마포구,167967,73327,31414,41913,43.65559902,343,3,9,5,30,0.000190926,0.040912624,4.091262427,1.909255799
서대문구,137979,56770,24411,32359,41.14394219,193,5,9,7,27,0.000281839,0.047560331,4.756033116,2.818389995
서초구,158384,49443,21581,27862,31.2171684,243,8,11,4,17,0.00030338,0.034383027,3.438302692,3.033796493
성동구,122894,48442,23493,24949,39.41770957,177,8,9,3,24,0.000247719,0.049543784,4.954378432,2.477189216
성북구,184228,70230,31242,38988,38.12124107,298,7,8,3,29,0.000156628,0.041292895,4.129289477,1.566282216
송파구,267817,89720,39610,50110,33.50048727,210,6,6,4,36,0.000111458,0.040124833,4.012483281,1.114578689
양천구,169044,47886,21752,26134,28.32753603,185,7,13,8,39,0.000438542,0.081443428,8.144342814,4.385415361
영등포구,176587,79698,38726,40972,45.13242764,179,2,7,5,53,0.000150568,0.066501041,6.650104143,1.505683957
용산구,93491,40445,18456,21989,43.26084864,123,1,11,2,59,0.000321424,0.145877117,14.58771171,3.214241563
은평구,198916,70568,29747,40821,35.47628145,198,3,21,8,61,0.000410951,0.086441447,8.644144655,4.109511393
종로구,64643,29779,14126,15653,46.06685952,170,12,6,4,38,0.000335807,0.127606703,12.76067027,3.358071124
중구,59849,28968,13726,15242,48.40181122,127,5,3,2,26,0.000172604,0.089754212,8.975421154,1.72604253
중랑구,173326,69149,33298,35851,39.89534173,260,7,17,7,69,0.000347077,0.099784523,9.978452328,3.470766027
